순번,이름,연식,주행거리,연료,배기량,색상,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_내차피해(가격),보증여부,보증기간,보증거리
42,3,58,59000,2,2999,검정색,22900000,63,0,0,1,1,1,1,0,1,0,1,1,2,0,0,0,0,1,0,3,0,1,60,100000
43,3,42,68000,2,2999,검정색,24900000,64,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,60,100000
44,3,6,750,2,2497,흰색,39900000,0,0,0,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,1,60,100000
45,3,27,26000,2,2497,흰색,34900000,94,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
46,3,54,50000,3,2359,기타색상,28900000,0,0,0,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,1,60,100000
47,3,84,154000,1,2999,은색,13000000,45,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3,22,19000,2,3342,검정색,38000000,86,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,60,100000
49,3,139,119000,2,2359,흰색,6900000,23,0,0,1,1,1,1,0,0,0,1,1,4,0,0,0,0,9,0,2,0,0,0,0
50,3,28,22268,2,2497,검정색,25990000,77,0,0,1,1,0,1,0,1,0,1,1,3,0,0,0,0,0,0,2,0,0,0,0
51,3,6,2596,2,2497,흰색,99990000,0,0,0,1,1,0,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,1,60,100000
52,3,121,101139,2,2359,흰색,8990000,30,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0
53,3,135,97593,2,2359,검정색,6990000,23,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,2,0,3,0,0,0,0
54,3,85,116174,2,2359,검정색,8900000,29,1,1,1,1,1,1,0,1,0,1,1,5,0,0,0,0,6,0,6,0,0,0,0
55,3,63,157505,0,2199,흰색,17600000,47,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
56,3,159,15200,2,2656,은색,3000000,9,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,3,137,183397,2,2999,검정색,5500000,16,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,3,0,1,0,0,0,0
58,3,181,126863,2,2656,검정색,2900000,9,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,4,0,2,0,0,0,0
59,3,203,144607,2,2656,검정색,2500000,8,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0
60,3,183,179669,2,2656,흰색,2900000,9,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,4,0,0,0,0
61,3,134,162199,2,2359,검정색,6100000,20,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,8,0,0,0,0,0,0
62,3,77,215757,1,2999,검정색,7500000,0,0,0,1,1,0,1,0,1,0,1,1,3,0,0,0,0,2,0,1,0,0,0,0
63,3,125,149110,2,2359,검정색,4800000,16,0,1,1,1,1,1,0,1,0,0,1,7,0,0,0,0,9,0,4,0,0,0,0
64,3,57,70000,2,2359,흰색,14700000,47,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,60,100000
65,3,33,48706,2,3342,검정색,29400000,80,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
66,3,2,5656,3,2359,흰색,36300000,89,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,60,100000
67,3,30,51185,3,2359,검정색,36990000,82,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0
68,3,28,41603,2,2497,검정색,30800000,83,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
69,3,31,49333,2,2497,검정색,29700000,88,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0
70,3,48,36300,2,2497,회색,32990000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71,3,84,56340,1,2999,흰색,22600000,67,1,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0
72,3,40,72369,3,2359,검정색,23500000,63,0,0,1,1,1,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,60,100000
73,3,14,37385,2,2497,진회색,32600000,88,0,0,1,1,1,1,1,1,1,1,1,3,0,0,0,0,3,0,0,0,1,60,100000
74,3,84,77453,2,2999,검정색,16990000,62,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
75,3,113,90129,2,3342,검정색,8990000,22,0,0,1,1,1,1,1,1,1,1,1,6,0,0,0,0,2,0,2,0,0,0,0
76,3,51,78179,2,2359,회색,14500000,46,0,0,1,1,1,1,0,1,0,1,1,5,0,0,0,0,1,0,4,0,1,60,100000
